FuncionarioID,Nome,Idade,Departamento,Cargo,Localização,Salário,DataAdmissao
122,Srta. Ana da Costa,43,Produção,Analista,Alemanha,6088,2010-06-12
123,Raquel Novaes,31,Recursos Humanos,Engenheiro,China,13487,2022-09-14
124,Fernanda Sales,53,Vendas,Diretor,Brasil,3892,2019-12-17
125,Antônio da Rosa,60,Marketing,Gerente,Brasil,8574,2011-12-15
126,Cauê Fernandes,51,Financeiro,Engenheiro,China,7082,2013-12-28
127,Davi Lucca Alves,44,Produção,Gerente,China,7358,2017-04-26
128,Nathan Rezende,22,Engenharia,Engenheiro,Coreia do Sul,14868,2013-09-12
129,Luiz Gustavo Barros,49,Financeiro,Diretor,Brasil,8014,2011-04-06
130,Vinicius Nascimento,46,Produção,Coordenador,EUA,4023,2014-10-14
131,Sr. Vinicius Azevedo,55,Marketing,Engenheiro,Brasil,11662,2012-07-22
132,Noah Moura,28,Financeiro,Assistente,Alemanha,10757,2021-01-31
133,Sr. Renan Carvalho,42,Vendas,Assistente,China,3678,2019-07-29
134,Alícia Moreira,54,Vendas,Coordenador,China,13823,2023-10-29
135,Dra. Ana Julia Costa,47,Produção,Gerente,China,3231,2021-02-05
136,Maria Eduarda Correia,31,Marketing,Engenheiro,Índia,4074,2023-09-26
137,Sophie da Cunha,23,Recursos Humanos,Coordenador,Reino Unido,17040,2012-10-10
138,Gustavo Henrique Correia,48,Produção,Diretor,Reino Unido,8606,2011-10-24
139,Srta. Agatha Pires,35,TI,Técnico,EUA,4112,2013-12-03
140,João Moraes,32,Engenharia,Engenheiro,Alemanha,19733,2021-10-29
141,Sra. Gabrielly Santos,44,Produção,Analista,Coreia do Sul,6318,2021-11-28
142,Srta. Maria Eduarda Ribeiro,60,TI,Diretor,Índia,4505,2022-01-17
143,Sr. Cauê Ramos,42,Engenharia,Analista,Índia,6525,2023-09-29
144,João Miguel Pires,47,Engenharia,Gerente,Brasil,15498,2020-04-26
145,Alana Aragão,43,TI,Gerente,Reino Unido,18511,2016-08-21
146,Pedro Miguel Novaes,41,Financeiro,Técnico,Coreia do Sul,10310,2023-05-24
147,Davi Lucas Dias,43,Marketing,Analista,EUA,19267,2015-02-01
148,Erick Sales,29,Vendas,Diretor,Índia,18659,2019-08-21
149,Marina da Conceição,49,Engenharia,Técnico,EUA,11819,2020-01-23
150,Leonardo Ferreira,26,Recursos Humanos,Gerente,Brasil,17037,2023-09-26
151,Ana Luiza Duarte,30,TI,Diretor,Índia,6196,2010-09-28
152,Isabelly Barros,28,Recursos Humanos,Diretor,Reino Unido,9488,2012-03-06
153,Yago Rocha,51,Engenharia,Analista,Brasil,11397,2012-09-27
154,Nathan Alves,23,Produção,Diretor,China,13479,2011-08-06
155,Antônio Lopes,56,Marketing,Coordenador,Reino Unido,10442,2010-05-11
156,Melissa Costela,49,Vendas,Técnico,Índia,9245,2017-01-25
157,Lívia Cavalcanti,23,Financeiro,Analista,Alemanha,12898,2017-04-25
158,Maria Alice Farias,48,TI,Técnico,Alemanha,11753,2014-03-18
159,Kaique da Mata,43,TI,Assistente,Reino Unido,13543,2014-11-09
160,Vitor Hugo Fernandes,49,Engenharia,Analista,China,18895,2015-05-29
161,Gustavo Henrique Moraes,54,TI,Assistente,Alemanha,11659,2015-12-10
162,Bárbara Ramos,37,Engenharia,Gerente,Alemanha,13775,2010-09-22
163,Enzo Gabriel da Paz,31,Engenharia,Gerente,Coreia do Sul,4476,2021-02-20
164,Miguel Mendes,55,Vendas,Engenheiro,Índia,13882,2021-09-28
165,Esther Carvalho,29,Engenharia,Diretor,Índia,14042,2021-10-15
166,Yago Monteiro,43,Produção,Analista,Reino Unido,17402,2014-06-11
167,Gustavo Henrique Porto,40,Vendas,Engenheiro,Reino Unido,14916,2010-06-20
168,Gabriela Monteiro,29,Recursos Humanos,Engenheiro,Reino Unido,18624,2015-09-27
169,Dr. Marcos Vinicius da Rosa,36,Engenharia,Engenheiro,Índia,9888,2014-02-19
170,Pietro Costa,44,Vendas,Assistente,Alemanha,5633,2019-08-28
171,Bruno Pereira,51,Financeiro,Gerente,EUA,14940,2017-08-23
172,Srta. Letícia Caldeira,24,Financeiro,Engenheiro,EUA,19306,2016-05-21
173,Julia Pires,28,Marketing,Diretor,Brasil,18646,2017-02-11
174,Nicole Correia,32,TI,Diretor,Índia,16798,2014-04-16
175,Nina da Rosa,41,Vendas,Gerente,Brasil,9938,2015-10-17
176,Rafaela Pinto,51,Vendas,Gerente,Coreia do Sul,17122,2019-11-30
177,Lucas Vieira,45,Engenharia,Gerente,Brasil,5177,2023-01-21
178,Luiz Miguel Pires,56,Recursos Humanos,Coordenador,Alemanha,12221,2018-04-21
179,Ana Vitória Rodrigues,54,Financeiro,Assistente,Reino Unido,18170,2012-09-11
180,Thiago Lopes,44,Engenharia,Analista,Coreia do Sul,6462,2022-01-07
181,João Gabriel Cunha,59,TI,Coordenador,China,16499,2021-11-22
182,Manuela Santos,42,TI,Gerente,Índia,18470,2016-08-21
183,Vitor Freitas,34,Vendas,Gerente,Brasil,8254,2018-05-07
184,Vicente Castro,45,Recursos Humanos,Gerente,Reino Unido,6544,2018-03-08
185,Vicente Santos,32,Marketing,Engenheiro,China,4396,2022-02-22
186,Gabriel Gonçalves,60,Engenharia,Assistente,Reino Unido,7860,2015-02-25
187,Anthony Santos,26,Engenharia,Analista,Reino Unido,7380,2020-07-11
188,Maria Sophia Silva,27,TI,Coordenador,Coreia do Sul,18508,2016-06-16
189,Letícia Fernandes,49,Produção,Assistente,Brasil,6182,2010-07-27
190,Juan Aragão,55,Financeiro,Coordenador,Brasil,6793,2010-07-17
191,Pietra Aragão,30,Financeiro,Assistente,Índia,10399,2019-07-27
192,Levi Peixoto,49,Produção,Técnico,Brasil,8922,2020-02-04
193,Marina Barros,30,TI,Gerente,China,4202,2022-04-26
194,Dra. Maysa Monteiro,23,Produção,Gerente,EUA,14065,2018-05-16
195,Dr. Guilherme Moraes,52,Marketing,Analista,Coreia do Sul,11108,2011-02-10
196,Raquel Teixeira,53,TI,Coordenador,Índia,16509,2020-05-13
197,Bruna Pinto,35,Vendas,Técnico,Reino Unido,17932,2012-01-24
198,Cecília Sales,32,TI,Coordenador,China,17089,2013-05-23
199,Mariane Dias,53,Vendas,Gerente,Índia,4880,2017-11-15
200,Dr. Ian Duarte,32,Vendas,Engenheiro,Brasil,9935,2012-08-27
201,Ryan da Rosa,27,Engenharia,Coordenador,EUA,9435,2022-04-05
202,Miguel Ferreira,28,Marketing,Engenheiro,Alemanha,9665,2023-12-06
203,Nicole Ferreira,36,Financeiro,Gerente,Brasil,14857,2020-02-08
204,Pietra da Costa,55,Recursos Humanos,Gerente,Índia,19857,2017-03-28
205,Marcos Vinicius Almeida,56,Produção,Coordenador,China,11929,2021-04-19
206,Sra. Cecília Nascimento,59,TI,Engenheiro,China,16594,2022-08-22
207,Milena Farias,60,Produção,Engenheiro,Índia,19134,2011-11-09
208,Sr. Caio Pires,37,Marketing,Engenheiro,Alemanha,3736,2015-03-09
209,Alana Martins,22,Vendas,Técnico,Coreia do Sul,7524,2020-11-30
210,Dr. Joaquim Cardoso,47,Financeiro,Técnico,Brasil,18546,2021-11-20
211,Gustavo Martins,22,TI,Técnico,China,10999,2018-04-30
212,Sr. Luiz Fernando Nunes,37,Financeiro,Gerente,Reino Unido,12756,2021-05-01
213,Isaac Azevedo,33,Engenharia,Assistente,China,19038,2012-04-19
214,Augusto Almeida,31,Vendas,Técnico,EUA,19564,2023-02-10
215,Ryan Lopes,58,Recursos Humanos,Gerente,Reino Unido,19265,2021-08-02
216,Caio Nunes,58,Marketing,Assistente,Reino Unido,16845,2017-09-18
217,Joana Ribeiro,24,Financeiro,Técnico,Reino Unido,18537,2020-03-20
218,Pietro Costela,27,Produção,Diretor,China,14637,2012-04-30
219,Maria Cecília da Rosa,38,Recursos Humanos,Coordenador,China,15900,2018-03-12
220,Yuri Moraes,50,TI,Coordenador,EUA,18107,2015-04-08
221,Maria da Costa,49,Produção,Engenheiro,EUA,10181,2020-09-03
222,Beatriz Carvalho,34,Engenharia,Técnico,China,4772,2013-10-23
223,Daniel Gonçalves,44,TI,Técnico,Brasil,14139,2020-12-29
224,Sr. Yuri Moura,60,Recursos Humanos,Engenheiro,China,4034,2017-03-10
225,Fernanda Pires,32,Recursos Humanos,Engenheiro,EUA,16180,2017-02-03
226,Lara da Mata,50,Vendas,Analista,China,9777,2013-03-31
227,Dra. Sarah da Cruz,48,Marketing,Engenheiro,China,13947,2022-01-01
228,Sra. Sofia Mendes,45,Vendas,Diretor,China,15052,2022-05-12
229,Raul Silveira,45,Recursos Humanos,Assistente,Reino Unido,14688,2012-11-17
230,Natália Caldeira,46,Financeiro,Diretor,China,19443,2019-02-12
231,Dr. Breno Gomes,33,Produção,Gerente,EUA,15017,2013-06-03
232,Heitor Silva,49,Engenharia,Analista,Alemanha,18128,2015-11-19
233,Srta. Ana Carolina Peixoto,24,Recursos Humanos,Engenheiro,Brasil,5701,2015-08-14
234,Eduardo Almeida,55,Produção,Gerente,Índia,13776,2012-05-24
235,Mariana Dias,38,Recursos Humanos,Gerente,Reino Unido,5105,2020-07-06
236,Davi Luiz da Luz,58,Vendas,Coordenador,EUA,9282,2017-05-18
237,Samuel Barbosa,53,Financeiro,Diretor,EUA,7249,2019-12-28
238,Marcela Porto,30,Marketing,Coordenador,Alemanha,9637,2018-07-14
239,Beatriz Ribeiro,37,TI,Engenheiro,Alemanha,19928,2023-06-05
240,Olivia Cardoso,37,Vendas,Diretor,China,11872,2021-03-23
241,Fernanda Barbosa,43,Financeiro,Diretor,Brasil,3089,2014-07-27
242,Thiago Monteiro,58,Recursos Humanos,Técnico,Coreia do Sul,8539,2011-06-04
243,Juan Caldeira,52,Engenharia,Gerente,Coreia do Sul,7817,2010-05-06
244,Vitória Souza,26,Recursos Humanos,Analista,China,5930,2017-08-14
245,Davi Luiz Almeida,43,Recursos Humanos,Diretor,Reino Unido,14683,2013-02-06
246,Ian Sales,38,Recursos Humanos,Coordenador,Coreia do Sul,15321,2020-07-31
247,Dra. Laís Lima,45,Produção,Engenheiro,Alemanha,5314,2019-11-05
248,João Pedro da Rocha,25,TI,Coordenador,EUA,19048,2019-06-06
249,Emanuel Pires,37,Marketing,Coordenador,EUA,7202,2021-08-01
250,Dr. Samuel Azevedo,37,Vendas,Diretor,China,7038,2012-08-01
251,Joaquim Novaes,55,Financeiro,Coordenador,Alemanha,15819,2021-02-01
252,Raquel Araújo,45,Financeiro,Analista,China,6102,2016-03-23
253,Sr. João Gabriel Castro,50,Financeiro,Gerente,China,12556,2023-09-27
254,Noah da Cruz,25,Engenharia,Técnico,Alemanha,13306,2019-05-03
255,Sophia Silveira,30,Vendas,Gerente,China,6543,2015-03-12
256,Dra. Letícia Nunes,53,Financeiro,Engenheiro,China,10912,2017-08-28
257,Sra. Kamilly Vieira,43,Produção,Técnico,Índia,10272,2014-02-23
258,Luiz Henrique Nogueira,22,TI,Gerente,EUA,19463,2022-09-12
259,Sabrina da Mata,49,Vendas,Engenheiro,China,18403,2013-04-16
260,Enzo Ramos,51,Marketing,Assistente,Reino Unido,9101,2022-04-13
261,Pedro Lucas Viana,51,Marketing,Assistente,Alemanha,4713,2020-05-23
262,Clarice Souza,27,Recursos Humanos,Assistente,Coreia do Sul,15858,2014-12-27
263,Agatha Moraes,59,TI,Engenheiro,Alemanha,15736,2014-04-18
264,Gustavo Duarte,22,Engenharia,Assistente,China,12482,2020-02-06
265,Maria Alice Campos,22,TI,Assistente,China,15649,2015-05-12
266,Sra. Alice Melo,32,Vendas,Gerente,Coreia do Sul,17634,2012-11-17
267,Isaac Nunes,39,Financeiro,Analista,Índia,11481,2014-12-28
268,Enrico da Rocha,30,Recursos Humanos,Gerente,EUA,9147,2013-06-14
269,Sra. Gabrielly Duarte,50,Vendas,Diretor,China,16178,2014-05-03
270,Lucas Gabriel Lima,53,TI,Coordenador,China,13861,2011-10-03
271,Pedro Lucas Rocha,55,TI,Gerente,Coreia do Sul,11604,2015-05-30
272,Ana Julia Costela,38,Financeiro,Diretor,Alemanha,13644,2011-05-20
273,Davi Luiz Pinto,25,TI,Gerente,Brasil,14335,2017-01-25
274,Murilo Nogueira,42,TI,Analista,EUA,19679,2023-12-25
275,Gustavo Henrique Lima,48,Produção,Engenheiro,China,14669,2015-07-16
276,Fernando Correia,22,TI,Diretor,Brasil,3315,2015-10-04
277,Matheus Moreira,26,Produção,Engenheiro,Brasil,4546,2018-06-14
278,Bárbara Azevedo,32,Recursos Humanos,Gerente,Coreia do Sul,18813,2019-09-10
279,Theo Silveira,44,Produção,Engenheiro,Brasil,7057,2019-03-04
280,Davi Lucca Barbosa,33,Financeiro,Diretor,Coreia do Sul,10311,2016-05-20
281,Davi Luiz da Costa,52,Financeiro,Analista,Índia,4380,2021-04-14
282,Marcela Araújo,44,Engenharia,Técnico,Índia,10909,2016-04-18
283,Sr. Miguel Barbosa,26,TI,Coordenador,Alemanha,15392,2021-08-24
284,Miguel Santos,38,Financeiro,Analista,Alemanha,15203,2017-02-02
285,Breno Jesus,57,Engenharia,Gerente,Coreia do Sul,16430,2023-04-30
286,Dr. Caio Santos,36,Vendas,Técnico,EUA,15028,2023-04-04
287,Guilherme da Cunha,23,Marketing,Analista,Índia,11899,2011-01-29
288,Marcela Costela,31,Marketing,Engenheiro,Coreia do Sul,9689,2019-07-04
289,Gustavo da Cunha,26,Engenharia,Assistente,Reino Unido,6498,2020-05-04
290,Catarina Azevedo,52,Produção,Gerente,Alemanha,13380,2020-04-23
291,Diogo Ferreira,41,TI,Assistente,China,6026,2019-10-21
292,Maria Fernanda Carvalho,42,Financeiro,Coordenador,Brasil,13886,2012-09-20
293,Igor Rezende,27,TI,Engenheiro,EUA,11996,2012-03-09
294,Sra. Luiza Fernandes,27,Produção,Gerente,China,7853,2013-02-23
295,Calebe Barros,38,Marketing,Técnico,Reino Unido,14431,2019-03-03
296,Julia Campos,37,TI,Assistente,Reino Unido,3781,2011-07-11
297,Sr. Kevin Melo,30,Marketing,Coordenador,China,4489,2022-10-09
298,Isabelly Melo,27,Engenharia,Engenheiro,Brasil,5402,2011-03-07
299,Marina Gomes,39,Recursos Humanos,Coordenador,Índia,15772,2017-09-03
300,Erick Jesus,23,Financeiro,Assistente,Coreia do Sul,9316,2022-04-15
301,Pietra Azevedo,23,TI,Gerente,Alemanha,9623,2022-12-23
302,Srta. Brenda da Cunha,38,Vendas,Analista,Índia,17459,2023-01-05
303,Srta. Larissa Dias,57,Vendas,Coordenador,Brasil,14246,2011-09-26
304,Amanda Freitas,46,Engenharia,Técnico,EUA,8181,2015-04-25
305,Fernando Rezende,50,Vendas,Diretor,Índia,8363,2019-02-13
306,Emanuelly Mendes,23,Marketing,Analista,Reino Unido,17326,2023-11-06
307,Diego Fogaça,49,Financeiro,Coordenador,Alemanha,12910,2014-04-12
308,Gabriela Rezende,50,Recursos Humanos,Engenheiro,Alemanha,5252,2016-10-31
309,Srta. Nina da Paz,52,Financeiro,Gerente,EUA,12773,2018-07-24
310,Vitor Souza,50,Marketing,Diretor,Brasil,8577,2018-01-31
311,Sr. Levi Rezende,26,Engenharia,Técnico,China,17919,2010-07-24
312,Benjamin Ribeiro,30,Recursos Humanos,Técnico,Alemanha,12652,2023-04-01
313,Bryan Rezende,31,Financeiro,Diretor,Brasil,12783,2021-12-30
314,Daniel Santos,60,TI,Diretor,Alemanha,4598,2019-11-14
315,João Vitor Cavalcanti,53,Vendas,Assistente,Brasil,17079,2014-07-16
316,Nina Barbosa,47,Financeiro,Engenheiro,EUA,3999,2015-07-24
317,Leandro Vieira,33,Marketing,Analista,China,10834,2021-07-30
318,Lucas Gonçalves,33,TI,Diretor,Brasil,4371,2018-11-22
319,Francisco Dias,51,Produção,Coordenador,EUA,17298,2013-12-27
320,Pedro Miguel Pinto,47,TI,Técnico,Brasil,9195,2023-11-11
321,Vitor Hugo das Neves,22,Recursos Humanos,Técnico,Brasil,18964,2010-11-14
322,Marcelo Freitas,32,Recursos Humanos,Coordenador,Reino Unido,9353,2020-11-08
323,Lívia Novaes,41,Marketing,Coordenador,Índia,12346,2020-09-09
324,Dr. Matheus Nascimento,55,Engenharia,Assistente,China,14761,2021-11-30
325,Olivia Nunes,25,Engenharia,Assistente,Reino Unido,18034,2015-08-03
326,Laís Santos,32,Produção,Assistente,Índia,14849,2020-02-27
327,Matheus da Rocha,30,TI,Engenheiro,Brasil,9261,2019-11-17
328,Antônio Correia,33,Vendas,Engenheiro,Reino Unido,11129,2014-12-13
329,Sra. Letícia das Neves,24,Recursos Humanos,Diretor,Índia,12070,2021-04-10
330,Rebeca Caldeira,50,Marketing,Engenheiro,EUA,17120,2013-10-25
331,Breno Gonçalves,34,Engenharia,Analista,Índia,7230,2013-04-13
332,Dra. Isabelly Vieira,60,Marketing,Diretor,China,19433,2014-09-27
333,Heitor Aragão,26,TI,Gerente,Brasil,13249,2016-08-13
334,Dr. Lucas Gomes,31,Vendas,Assistente,Brasil,10918,2016-07-21
335,Calebe Rezende,26,Vendas,Técnico,Reino Unido,5042,2022-11-05
336,Eduardo Cardoso,58,Marketing,Gerente,China,13794,2016-02-04
337,Pietro Lopes,39,Financeiro,Diretor,EUA,19635,2015-11-28
338,Evelyn Ribeiro,51,Recursos Humanos,Coordenador,Coreia do Sul,18785,2014-06-23
339,João Guilherme Castro,48,TI,Analista,Coreia do Sul,15259,2023-05-05
340,Ana Lívia da Mota,35,Marketing,Engenheiro,Reino Unido,8722,2013-04-08
341,Pedro Henrique Costa,23,Engenharia,Assistente,EUA,4206,2012-02-13
342,Henrique Mendes,33,Vendas,Analista,Coreia do Sul,8815,2014-01-21
343,Davi Lucas Farias,54,Financeiro,Analista,Brasil,8549,2022-05-19
344,Srta. Milena da Rosa,36,Marketing,Analista,Índia,5409,2024-02-03
345,Lucas Gabriel Nogueira,24,Recursos Humanos,Assistente,Índia,8157,2015-08-19
